state,district,month,biometric_pressure_index
Andhra Pradesh,Mahabub Nagar,2025-06,0.3422380622562137
Andhra Pradesh,Mahabub Nagar,2025-07,-0.7926686387690889
Andhra Pradesh,Mahabub Nagar,2025-08,-0.37136439653616815
Andhra Pradesh,Mahabub Nagar,2025-09,0.19302150485212893
Andhra Pradesh,Mahabub Nagar,2025-10,0.2862818532296819
Andhra Pradesh,Mahabub Nagar,2025-11,1.5557197717335554
Andhra Pradesh,Mahabub Nagar,2025-12,1.298764852789467
Andhra Pradesh,Mahabubnagar,2025-01,-0.41139542500144516
Andhra Pradesh,Mahabubnagar,2025-02,0.5289369750018581
Andhra Pradesh,Mahabubnagar,2025-03,-0.8815616250030968
Andhra Pradesh,Mahabubnagar,2025-04,2.4096017750084644
Andhra Pradesh,Mahabubnagar,2025-05,-0.7248395583358797
Andhra Pradesh,Mahabubnagar,2025-06,-1.038283691670314
Andhra Pradesh,Mahabubnagar,2025-07,-0.41139542500144516
Andhra Pradesh,Mahabubnagar,2025-08,-0.646478525002271
Andhra Pradesh,Mahabubnagar,2025-09,-0.41139542500144516
Andhra Pradesh,Mahabubnagar,2025-10,0.5289369750018581
Andhra Pradesh,Mahabubnagar,2025-11,-0.41139542500144516
Andhra Pradesh,Mahabubnagar,2025-12,1.4692693750051613
Andhra Pradesh,Mahbubnagar,2025-01,-0.47497312088336524
Andhra Pradesh,Mahbubnagar,2025-02,0.7475069788963168
Andhra Pradesh,Mahbubnagar,2025-03,0.44508715492374545
Andhra Pradesh,Mahbubnagar,2025-04,-0.8252506027057813
Andhra Pradesh,Mahbubnagar,2025-05,-1.1629991335041083
Andhra Pradesh,Mahbubnagar,2025-06,-0.7967264620795361
Andhra Pradesh,Mahbubnagar,2025-07,-1.2107781939585054
Andhra Pradesh,Mahbubnagar,2025-08,-0.7632151582734358
Andhra Pradesh,Mahbubnagar,2025-09,2.0459335743474223
Andhra Pradesh,Mahbubnagar,2025-10,0.510139333046387
Andhra Pradesh,Mahbubnagar,2025-11,0.1296357197417327
Andhra Pradesh,Mahbubnagar,2025-12,1.3556399104491281
Andhra Pradesh,Medak,2025-01,0.6388284813921205
Andhra Pradesh,Medak,2025-02,1.9022861510200928
Andhra Pradesh,Medak,2025-03,0.08804175140592717
Andhra Pradesh,Medak,2025-04,-0.14501311995268007
Andhra Pradesh,Medak,2025-05,-0.5768227603403719
Andhra Pradesh,Medak,2025-06,-0.3531613638378486
Andhra Pradesh,Medak,2025-07,-1.5379511992728943
Andhra Pradesh,Medak,2025-08,-0.45825125535745787
Andhra Pradesh,Medak,2025-09,1.8732856276710546
Andhra Pradesh,Medak,2025-10,-0.8979341936171488
Andhra Pradesh,Medak,2025-11,-0.7430769758049113
Andhra Pradesh,Medak,2025-12,0.20976885669411346
Andhra Pradesh,N. T. R,2025-01,0.2649478888962919
Andhra Pradesh,N. T. R,2025-02,-0.5616913267844154
Andhra Pradesh,N. T. R,2025-03,1.32063817507562
Andhra Pradesh,N. T. R,2025-04,-0.32055630563110377
Andhra Pradesh,N. T. R,2025-05,0.4547666042200034
Andhra Pradesh,N. T. R,2025-06,-0.3040871320354801
Andhra Pradesh,N. T. R,2025-07,-2.0574804886850235
Andhra Pradesh,N. T. R,2025-08,0.5104049380902439
Andhra Pradesh,N. T. R,2025-09,1.972714296337257
Andhra Pradesh,N. T. R,2025-10,-0.24310003497705995
Andhra Pradesh,N. T. R,2025-11,-0.025114025410819384
Andhra Pradesh,N. T. R,2025-12,-1.011442589095506
Andhra Pradesh,Nalgonda,2025-01,0.22478578897124576
Andhra Pradesh,Nalgonda,2025-02,0.4097955260742573
Andhra Pradesh,Nalgonda,2025-03,0.25363743902066516
Andhra Pradesh,Nalgonda,2025-04,-0.1765333556626081
Andhra Pradesh,Nalgonda,2025-05,-1.0284904018719159
Andhra Pradesh,Nalgonda,2025-06,0.033608311763747824
Andhra Pradesh,Nalgonda,2025-07,-1.7673438165054065
Andhra Pradesh,Nalgonda,2025-08,-0.2744240374434709
Andhra Pradesh,Nalgonda,2025-09,0.02476171508583649
Andhra Pradesh,Nalgonda,2025-10,-0.3765602781896358
Andhra Pradesh,Nalgonda,2025-11,-0.022379234202005927
Andhra Pradesh,Nalgonda,2025-12,2.6991423429592913
Andhra Pradesh,Nandyal,2025-01,-0.6889273637469692
Andhra Pradesh,Nandyal,2025-02,-2.1512661681947955
Andhra Pradesh,Nandyal,2025-03,0.5616255530087395
Andhra Pradesh,Nandyal,2025-04,-0.33504831124870593
Andhra Pradesh,Nandyal,2025-05,0.48553388618732335
Andhra Pradesh,Nandyal,2025-06,0.8513201860765295
Andhra Pradesh,Nandyal,2025-07,-0.8031077574590527
Andhra Pradesh,Nandyal,2025-08,-0.3651709488761044
Andhra Pradesh,Nandyal,2025-09,-0.04116891976189039
Andhra Pradesh,Nandyal,2025-10,1.0179176160836019
Andhra Pradesh,Nandyal,2025-11,1.8775963435638423
Andhra Pradesh,Nandyal,2025-12,-0.4093041156325256
Andhra Pradesh,Nellore,2025-01,-1.8059827598866138
Andhra Pradesh,Nellore,2025-02,-0.39331624793445275
